ID,File Name (VDD),File Name (Local Dir),File Name Result,CI Ref (VDD),CI Ref (Local Dir),CI Ref (Config List),CI Ref Result,Version (VDD),Version (Local Dir),Version (Config List),Version Result,MD5 (VDD),MD5 (Local Dir),MD5 Result,CRC-32 (VDD),CRC-32 (Local Dir),CRC-32 Result,Document Link,Doc Link Result,Source,Local Status,File Status,SHA-1,CRC-32
6,"DP-CRF-6648-V1-AS-ATE-X86-W10-1V00.7z","DP-CRF-6648-V1-AS-ATE-X86-W10-1V00.7z",FOUND,"DP-CRF-6648-V1-AS-ATE-X86-W10-1V00","DP-CRF-6648-V1-AS-ATE-X86-W10-1V00","DP-CRF-6648-V1-AS-ATE-X86-W10-1V00",MATCH,"1V00","1V00","1V00",MATCH,"5E1F9D2E7F3A3F66C71296195144DC1A","5e1f9d2e7f3a3f66c71296195144dc1a",MATCH,"","1024f470",SKIP,"\\10.5.0.10\projects24\YEB2694_S-Band Radar_ATE\SDG\DP-CRF-6648\SW\SrcCode\AS\DP-CRF-6648-V1-AS-ATE-X86-W10-1V00\",MATCH,VDD,MATCH,MATCH,"1824cb412cea46070ecd341f6fd11a3818eb11c3","1024f470"
7,"DP-CRF-6648-V1-IS-ATE-X86-W10-1V00.7z","DP-CRF-6648-V1-IS-ATE-X86-W10-1V00.7z",FOUND,"DP-CRF-6648-V1-IS-ATE-X86-W10-1V00","DP-CRF-6648-V1-IS-ATE-X86-W10-1V00","DP-CRF-6648-V1-IS-ATE-X86-W10-1V00",MATCH,"1V00","1V00","1V00",MATCH,"BD70D642F52262807AB50C152807C807","bd70d642f52262807ab50c152807c807",MATCH,"","7ae2a463",SKIP,"\\10.5.0.10\projects24\YEB2694_S-Band Radar_ATE\SDG\DP-CRF-6648\SW\SrcCode\IS\DP-CRF-6648-V1-IS-ATE-X86-W10-1V00\",MATCH,VDD,MATCH,MATCH,"635dd1fe68af048288529c77cf1a7539aeeb2967","7ae2a463"
8,"DP-RFSS-7139-V1-01-TOOLS-NIVISA-X86-W10-1V00.zip","NOT FOUND",NOT FOUND,"DP-RFSS-7139-V1-01-TOOLS-NIVISA-X86-W10-1V00","N/A","N/A",SKIP,"1V00","N/A","N/A",SKIP,"05DFDE1892B29763B8355370931D1B9F","Not calculated",N/A,"","Not calculated",SKIP,"N/A",SKIP,VDD,MISSING,NOT_IN_FILE,"",""
9,"DP-SPL-6976-V1-01-TOOLS-MARIADB10V11-X64-W10-1V00.7z","NOT FOUND",NOT FOUND,"DP-SPL-6976-V1-01-TOOLS-MARIADB10V11-X64-W10-1V00","N/A","N/A",SKIP,"1V00","N/A","N/A",SKIP,"09321099F9E877993F7735A8C1EAF084","Not calculated",N/A,"","Not calculated",SKIP,"N/A",SKIP,VDD,MISSING,NOT_IN_FILE,"",""
10,"DP-CRF-6648-V1-UO-ATE-RPTTEMP-x86-W10-1V00.7z","DP-CRF-6648-V1-UO-ATE-RPTTEMP-x86-W10-1V00.7z",FOUND,"DP-CRF-6648-V1-UO-ATE-RPTTEMP-x86-W10-1V00","DP-CRF-6648-V1-UO-ATE-RPTTEMP-x86-W10-1V00","DP-CRF-6648-V1-UO-ATE-RPTTEMP-X86-W10-1V00",MATCH,"1V00","1V00","1V00",MATCH,"234EFCC90C68E1505741CC78DFC5A480","234efcc90c68e1505741cc78dfc5a480",MATCH,"","68c2e610",SKIP,"\\10.5.0.10\projects24\YEB2694_S-Band Radar_ATE\SDG\DP-CRF-6648\SW\SrcCode\UO\DP-CRF-6648-V1-UO-ATE-RPTTEMP-x86-W10-1V00\",MATCH,VDD,MATCH,MATCH,"97f5fc0498afddf2dbea6b1e82c34b5b3dc0466f","68c2e610"
11,"DP-CRF-6648-V1-US-ATE-RPTTEMP-x86-W10-1V00.7z","DP-CRF-6648-V1-US-ATE-RPTTEMP-x86-W10-1V00.7z",FOUND,"DP-CRF-6648-V1-US-ATE-RPTTEMP-x86-W10-1V00","DP-CRF-6648-V1-US-ATE-RPTTEMP-x86-W10-1V00","DP-CRF-6648-V1-US-ATE-RPTTEMP-X86-W10-1V00",MATCH,"1V00","1V00","1V00",MATCH,"611CCDDA279A4A8A5076EDA9129DA705","611ccdda279a4a8a5076eda9129da705",MATCH,"","df3bee23",SKIP,"\\10.5.0.10\projects24\YEB2694_S-Band Radar_ATE\SDG\DP-CRF-6648\SW\SrcCode\US\DP-CRF-6648-V1-US-ATE-RPTTEMP-x86-W10-1V00\",MATCH,VDD,MATCH,MATCH,"1233b2d388fbceb77e58f5f528f3ef57c845fc85","df3bee23"
12,"DP-SPL-6976-V1-01-US-ATE-PARAMDEF-X86-W10-1V00.7z","NOT FOUND",NOT FOUND,"DP-SPL-6976-V1-01-US-ATE-PARAMDEF-X86-W10-1V00","N/A","N/A",SKIP,"1V00","N/A","N/A",SKIP,"42291DA6B55267FD0C8779BC4DB515C0","Not calculated",N/A,"","Not calculated",SKIP,"N/A",SKIP,VDD,MISSING,NOT_IN_FILE,"",""
13,"DP-SPL-6976-V1-01-UO-ATE-PARAMDEF-X86-W10-1V00.7z","NOT FOUND",NOT FOUND,"DP-SPL-6976-V1-01-UO-ATE-PARAMDEF-X86-W10-1V00","N/A","N/A",SKIP,"1V00","N/A","N/A",SKIP,"B49BAAF5D623BD4D9A8DF041569727B3","Not calculated",N/A,"05F6BA92E","Not calculated",SKIP,"N/A",SKIP,VDD,MISSING,NOT_IN_FILE,"",""
14,"DP-SPL-6976-V1-01-US-ATE-CFGDEF-X86-W10-1V00.7z","NOT FOUND",NOT FOUND,"DP-SPL-6976-V1-01-US-ATE-CFGDEF-X86-W10-1V00","N/A","N/A",SKIP,"1V00","N/A","N/A",SKIP,"6F797A12B103CECB0D4DD3B766312DE5","Not calculated",N/A,"","Not calculated",SKIP,"N/A",SKIP,VDD,MISSING,NOT_IN_FILE,"",""
15,"DP-SPL-6976-V1-01-UO-ATE-CFGDEF-X86-W10-1V00.7z","NOT FOUND",NOT FOUND,"DP-SPL-6976-V1-01-UO-ATE-CFGDEF-X86-W10-1V00","N/A","N/A",SKIP,"1V00","N/A","N/A",SKIP,"4CACC1919FFF936FB448114DD38E6936","Not calculated",N/A,"094602EB1","Not calculated",SKIP,"N/A",SKIP,VDD,MISSING,NOT_IN_FILE,"",""
16,"DP-SPL-6976-V1-01-US-ATE-RPTGEN-X86-W10-1V00.7z","NOT FOUND",NOT FOUND,"DP-SPL-6976-V1-01-US-ATE-RPTGEN-X86-W10-1V00","N/A","N/A",SKIP,"1V00","N/A","N/A",SKIP,"E180E091682E0AA264806471A294EBDC","Not calculated",N/A,"","Not calculated",SKIP,"N/A",SKIP,VDD,MISSING,NOT_IN_FILE,"",""
10001,"DP-CRF-6648-V1-AS-ATE-X86-W10-1V00.7z","DP-CRF-6648-V1-AS-ATE-X86-W10-1V00.7z",FOUND,"DP-CRF-6648-V1-AS-ATE-X86-W10-1V00","DP-CRF-6648-V1-AS-ATE-X86-W10-1V00","DP-CRF-6648-V1-AS-ATE-X86-W10-1V01",NOT MATCH,"1V00","1V00","1V01",NOT MATCH,"5E1F9D2E7F3A3F66C71296195144DC1A","5e1f9d2e7f3a3f66c71296195144dc1a",MATCH,"","1024f470",SKIP,"\\10.5.0.10\projects24\YEB2694_S-Band Radar_ATE\SDG\DP-CRF-6648\SW\SrcCode\AS\DP-CRF-6648-V1-AS-ATE-X86-W10-1V01\",MATCH,VDD,MATCH,MISMATCH,"1824cb412cea46070ecd341f6fd11a3818eb11c3","1024f470"
10002,"DP-CRF-6648-V1-AO-ATE-X86-W10-1V00.exe","DP-CRF-6648-V1-AO-ATE-X86-W10-1V00.exe",FOUND,"DP-CRF-6648-V1-AO-ATE-X86-W10-1V00","DP-CRF-6648-V1-AO-ATE-X86-W10-1V00","DP-CRF-6648-V1-AO-ATE-X86-W10-1V01",NOT MATCH,"1V00","1V00","1V01",NOT MATCH,"0E48DC305DA1F072C0145646CFD3610A","0e48dc305da1f072c0145646cfd3610a",MATCH,"C7CA8571","5c2fc2bf",NOT MATCH,"\\10.5.0.10\projects24\YEB2694_S-Band Radar_ATE\SDG\DP-CRF-6648\SW\SrcCode\AO\DP-CRF-6648-V1-AO-ATE-X86-W10-1V01\",MATCH,VDD,MISMATCH,MISMATCH,"c93c3761151bd818145f67cafc37e0700e3cd9ba","5c2fc2bf"
10003,"DP-CRF-6648-V1-IS-ATE-X86-W10-1V00.7z","DP-CRF-6648-V1-IS-ATE-X86-W10-1V00.7z",FOUND,"DP-CRF-6648-V1-IS-ATE-X86-W10-1V00","DP-CRF-6648-V1-IS-ATE-X86-W10-1V00","DP-CRF-6648-V1-IS-ATE-X86-W10-1V01",NOT MATCH,"1V00","1V00","1V01",NOT MATCH,"BD70D642F52262807AB50C152807C807","bd70d642f52262807ab50c152807c807",MATCH,"","7ae2a463",SKIP,"\\10.5.0.10\projects24\YEB2694_S-Band Radar_ATE\SDG\DP-CRF-6648\SW\SrcCode\IS\DP-CRF-6648-V1-IS-ATE-X86-W10-1V01\",MATCH,VDD,MATCH,MISMATCH,"635dd1fe68af048288529c77cf1a7539aeeb2967","7ae2a463"
