ID,File Name (VDD),File Name (Local Dir),File Name Result,CI Ref (VDD),CI Ref (Local Dir),CI Ref (Config List),CI Ref Result,Version (VDD),Version (Local Dir),Version (Config List),Version Result,MD5 (VDD),MD5 (Local Dir),MD5 Result,CRC-32 (VDD),CRC-32 (Local Dir),CRC-32 Result,Document Link,Doc Link Result,Source,Local Status,File Status,SHA-1,CRC-32
-36,"DP-RFSS-7148-V1-01-US-RPTGEN-X86-W10-1V00","DP-RFSS-7148-V1-01-US-RPTGEN-X86-W10-1V00.zip",N/A,"DP-RFSS-7148-V1-01-US-RPTGEN-X86-W10-1V00","DP-RFSS-7148-V1-01-US-RPTGEN-X86-W10-1V00","DP-RFSS-7148-V1-01-US-RPTGEN-X86-W10-1V00",SKIP,"1V00","1V00","1V00",SKIP,"","0b7ff3e0c06af10f3364220a54fb3718",VERIFIED,"","f722c624",CALCULATED,"\\itnas02\PROJECTS22\YEB2800\SDG\DP-RFSS-7148\SW\SrcCode\US\DP-RFSS-7148-V1-01-US-RPTGEN-X86-W10-1V00\",MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"a862df5888072d2730d8e4d078cc1ad182ac77be","f722c624"
-35,"DP-RFSS-7148-V1-STID-APP-01","NOT FOUND",N/A,"DP-RFSS-7148-V1-STID-APP-01","N/A","DP-RFSS-7148-V1-STID-APP-01",SKIP,"1V00","N/A","1V00",SKIP,"","Not calculated",NOT CALCULATED,"","Not calculated",N/A,"\\itnas02\PROJECTS22\YEB2800\SDG\DP-RFSS-7148\SW\SrcCode\STID\",NOT MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"",""
-34,"DP-RFSS-7148-V1-01-VDD-1V00","NOT FOUND",N/A,"DP-RFSS-7148-V1-01-VDD-1V00","N/A","DP-RFSS-7148-V1-01-VDD-1V00",SKIP,"1V00","N/A","1V00",SKIP,"","Not calculated",NOT CALCULATED,"","Not calculated",N/A,"\\itnas02\PROJECTS22\YEB2800\SDG\DP-RFSS-7148\SW\SrcCode\VDD\DP-RFSS-7148-V1-01-VDD-1V00\",NOT MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"",""
-33,"DP-RFSS-7148-V1-01-SDD-1V00","NOT FOUND",N/A,"DP-RFSS-7148-V1-01-SDD-1V00","N/A","DP-RFSS-7148-V1-01-SDD-1V00",SKIP,"1V00","N/A","1V00",SKIP,"","Not calculated",NOT CALCULATED,"","Not calculated",N/A,"\\itnas02\PROJECTS22\YEB2800\SDG\DP-RFSS-7148\SW\SrcCode\SDD\DP-RFSS-7148-V1-01-SDD-1V00\",NOT MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"",""
-32,"DP-RFSS-7148-V1-01-SRS-1V00","NOT FOUND",N/A,"DP-RFSS-7148-V1-01-SRS-1V00","N/A","DP-RFSS-7148-V1-01-SRS-1V00",SKIP,"1V00","N/A","1V00",SKIP,"","Not calculated",NOT CALCULATED,"","Not calculated",N/A,"\\itnas02\PROJECTS22\YEB2800\SDG\DP-RFSS-7148\SW\SrcCode\SRS\DP-RFSS-7148-V1-01-SRS-1V00\",NOT MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"",""
-31,"DP-RFSS-7148-V1-01-IS-X86-W10-1V00","DP-RFSS-7148-V1-01-IS-X86-W10-1V00.zip",N/A,"DP-RFSS-7148-V1-01-IS-X86-W10-1V00","DP-RFSS-7148-V1-01-IS-X86-W10-1V00","DP-RFSS-7148-V1-01-IS-X86-W10-1V00",SKIP,"1V00","1V00","1V00",SKIP,"","24302e71ad20a00496c1c5b342dc6018",VERIFIED,"","f29b36db",CALCULATED,"\\itnas02\PROJECTS22\YEB2800\SDG\DP-RFSS-7148\SW\SrcCode\IS\DP-RFSS-7148-V1-01-IS-X86-W10-1V00\",MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"7d531fd895df088a3fa53e1b00b0874c429f10f2","f29b36db"
-30,"DP-RFSS-7148-V1-01-LIBO-X86-W10-1V00","DP-RFSS-7148-V1-01-LIBO-X86-W10-1V00.zip",N/A,"DP-RFSS-7148-V1-01-LIBO-X86-W10-1V00","DP-RFSS-7148-V1-01-LIBO-X86-W10-1V00","DP-RFSS-7148-V1-01-LIBO-X86-W10-1V00",SKIP,"1V00","1V00","1V00",SKIP,"","8010fe986c5c82dc4e18661bd255efcc",VERIFIED,"","0ce53a0e",CALCULATED,"\\itnas02\PROJECTS22\YEB2800\SDG\DP-RFSS-7148\SW\SrcCode\LIBO\DP-RFSS-7148-V1-01-LIBO-X86-W10-1V00\",MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"417ae9303392163505c3ba48828d7f9808eeb2a5","0ce53a0e"
-29,"DP-RFSS-7148-V1-01-LIBS-X86-W10-1V00","DP-RFSS-7148-V1-01-LIBS-X86-W10-1V00.zip",N/A,"DP-RFSS-7148-V1-01-LIBS-X86-W10-1V00","DP-RFSS-7148-V1-01-LIBS-X86-W10-1V00","DP-RFSS-7148-V1-01-LIBS-X86-W10-1V00",SKIP,"1V00","1V00","1V00",SKIP,"","9394eeb3ad4d16e093bbd082de6b989f",VERIFIED,"","0c3bb5d7",CALCULATED,"\\itnas02\PROJECTS22\YEB2800\SDG\DP-RFSS-7148\SW\SrcCode\LIBS\DP-RFSS-7148-V1-01-LIBS-X86-W10-1V00\",MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"104edf5a08ad45a40666d5fb878d4d5029215a6c","0c3bb5d7"
-28,"DP-RFSS-7148-V1-01-US-RPTTEMP-X86-W10-1V00","DP-RFSS-7148-V1-01-US-RPTTEMP-X86-W10-1V00.zip",N/A,"DP-RFSS-7148-V1-01-US-RPTTEMP-X86-W10-1V00","DP-RFSS-7148-V1-01-US-RPTTEMP-X86-W10-1V00","DP-RFSS-7148-V1-01-US-RPTTEMP-X86-W10-1V00",SKIP,"1V00","1V00","1V00",SKIP,"","a007fb4b32ef6247ee8b4efb7503d679",VERIFIED,"","d78c495f",CALCULATED,"\\itnas02\PROJECTS22\YEB2800\SDG\DP-RFSS-7148\SW\SrcCode\US\DP-RFSS-7148-V1-01-US-RPTTEMP-X86-W10-1V00\",MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"df016b63fed17d035ad0f7f8cdb1b14657fe1f3c","d78c495f"
-27,"DP-RFSS-7148-V1-01-US-PARAMDEF-X86-W10-1V00","DP-RFSS-7148-V1-01-US-PARAMDEF-X86-W10-1V00.zip",N/A,"DP-RFSS-7148-V1-01-US-PARAMDEF-X86-W10-1V00","DP-RFSS-7148-V1-01-US-PARAMDEF-X86-W10-1V00","DP-RFSS-7148-V1-01-US-PARAMDEF-X86-W10-1V00",SKIP,"1V00","1V00","1V00",SKIP,"","46381eec972f8eceaa5c92c50af44168",VERIFIED,"","80d6036d",CALCULATED,"\\itnas02\PROJECTS22\YEB2800\SDG\DP-RFSS-7148\SW\SrcCode\US\DP-RFSS-7148-V1-01-US-PARAMDEF-X86-W10-1V00\",MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"9f82926789c416fcb11c86578ee73b5923e46818","80d6036d"
